"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","32,193.41","34,304.87","34,544.46","31,146.30","6.34B","-6.25%"
"02/01/2026","34,339.99","31,918.93","34,510.06","31,918.93","6.09B","7.57%"
"01/01/2026","31,923.52","31,815.66","33,428.44","31,685.51","6.12B","0.66%"
"12/01/2025","31,712.76","31,262.10","32,081.92","30,908.13","5.92B","1.05%"
"11/01/2025","31,382.78","30,292.05","31,411.01","29,530.92","5.35B","3.71%"
"10/01/2025","30,260.74","30,006.44","30,808.10","29,802.49","5.87B","0.79%"
"09/01/2025","30,022.81","28,497.38","30,066.60","28,370.05","6.27B","5.11%"
"08/01/2025","28,564.45","27,171.70","28,607.30","26,846.74","4.74B","4.79%"
"07/01/2025","27,259.78","26,849.56","27,581.23","26,762.93","4.88B","1.50%"
"06/01/2025","26,857.11","26,184.44","26,857.11","26,166.64","5.89B","2.61%"
"05/01/2025","26,175.05","24,854.34","26,385.43","24,750.19","5.50B","5.37%"
"04/01/2025","24,841.68","24,909.58","25,307.18","22,227.74","6.00B","-0.30%"
"03/01/2025","24,917.50","25,411.58","25,559.51","24,145.59","6.48B","-1.87%"
"02/01/2025","25,393.45","25,139.41","25,720.63","24,742.92","4.99B","-0.55%"
"01/01/2025","25,533.10","24,821.15","25,875.61","24,469.90","4.66B","3.26%"
"12/01/2024","24,727.94","25,650.33","25,843.20","24,250.02","5.10B","-3.59%"
"11/01/2024","25,648.00","24,225.28","25,694.45","24,162.22","4.92B","6.17%"
"10/01/2024","24,156.87","23,982.87","24,922.92","23,823.96","4.83B","0.65%"
"09/01/2024","24,000.37","23,282.33","24,107.00","22,679.86","5.71B","2.80%"
"08/01/2024","23,346.18","23,105.29","23,413.95","21,659.26","4.85B","1.02%"
"07/01/2024","23,110.81","21,850.36","23,209.68","21,802.33","4.29B","5.65%"
"06/01/2024","21,875.79","22,262.05","22,312.13","21,466.60","4.96B","-1.77%"
"05/01/2024","22,269.12","21,692.03","22,554.98","21,623.71","4.94B","2.55%"
"04/01/2024","21,714.54","22,186.52","22,380.16","21,536.09","4.90B","-2.04%"
"03/01/2024","22,167.03","21,394.23","22,220.91","21,394.23","4.94B","3.76%"
"02/01/2024","21,363.61","21,065.45","21,449.92","20,466.50","4.27B","1.63%"
"01/01/2024","21,021.88","20,904.25","21,250.90","20,594.20","4.14B","0.30%"
"12/01/2023","20,958.44","20,208.12","21,091.05","20,125.08","4.60B","3.57%"
"11/01/2023","20,236.29","18,926.16","20,262.02","18,907.74","4.42B","7.22%"
"10/01/2023","18,873.47","19,520.86","19,768.64","18,692.06","4.12B","-3.42%"
"09/01/2023","19,541.27","20,398.79","20,652.20","19,341.44","4.49B","-3.70%"
"08/01/2023","20,292.62","20,570.56","20,585.87","19,675.13","4.22B","-1.62%"
"07/01/2023","20,626.64","20,180.28","20,677.25","19,719.58","3.94B","2.34%"
"06/01/2023","20,155.29","19,573.00","20,178.81","19,400.70","4.61B","2.98%"
"05/01/2023","19,572.24","20,663.68","20,766.87","19,522.58","4.78B","-5.16%"
"04/01/2023","20,636.54","20,108.36","20,729.52","20,097.59","4.22B","2.67%"
"03/01/2023","20,099.89","20,200.90","20,615.50","19,155.77","6.73B","-0.60%"
"02/01/2023","20,221.19","20,731.89","20,843.21","19,997.33","4.82B","-2.63%"
"01/01/2023","20,767.38","19,531.37","20,771.56","19,380.34","5.06B","7.13%"
"12/01/2022","19,384.92","20,541.19","20,639.48","19,159.58","5.19B","-5.22%"
"11/01/2022","20,453.26","19,674.85","20,456.62","19,090.64","5.75B","5.29%"
"10/01/2022","19,426.14","18,621.76","19,516.36","17,873.18","4.76B","5.32%"
"09/01/2022","18,444.22","19,179.49","20,032.60","18,247.74","5.56B","-4.59%"
"08/01/2022","19,330.81","19,568.87","20,323.57","19,329.88","5.30B","-1.84%"
"07/01/2022","19,692.92","18,951.20","19,733.95","18,169.86","4.72B","4.41%"
"06/01/2022","18,861.36","20,816.71","21,036.35","18,661.52","6.20B","-9.01%"
"05/01/2022","20,729.34","20,707.70","21,212.88","19,480.00","6.12B","-0.16%"
"04/01/2022","20,762.00","21,970.78","22,213.07","20,619.32","5.03B","-5.15%"
"03/01/2022","21,890.16","21,143.99","22,181.75","20,912.06","7.32B","3.62%"
"02/01/2022","21,126.36","21,160.53","21,784.69","20,397.15","5.48B","0.13%"
"01/01/2022","21,098.29","21,335.56","21,550.10","19,912.59","5.26B","-0.59%"
"12/01/2021","21,222.84","20,917.46","21,433.85","20,382.33","4.98B","2.72%"
"11/01/2021","20,659.99","21,124.26","21,796.16","20,659.99","5.46B","-1.79%"
"10/01/2021","21,037.07","20,122.71","21,311.78","19,954.82","4.26B","4.82%"
"09/01/2021","20,070.25","20,604.76","20,897.57","19,982.19","4.88B","-2.49%"
"08/01/2021","20,582.94","20,325.13","20,703.89","20,109.37","3.74B","1.45%"
"07/01/2021","20,287.80","20,267.16","20,381.70","19,605.94","3.58B","0.61%"
"06/01/2021","20,165.58","19,909.08","20,295.18","19,906.84","5.05B","2.20%"
"05/01/2021","19,730.99","19,193.56","19,909.58","19,052.41","4.77B","3.26%"
"04/01/2021","19,108.33","18,799.85","19,439.82","18,772.73","4.23B","2.18%"
"03/01/2021","18,700.67","18,249.77","19,037.13","17,950.75","6.44B","3.55%"
"02/01/2021","18,060.26","17,527.44","18,579.68","17,487.72","5.38B","4.17%"
"01/01/2021","17,337.02","17,583.36","18,058.61","17,297.75","5.01B","-0.55%"
"12/01/2020","17,433.36","17,431.27","17,684.07","17,220.89","5.20B","1.41%"
"11/01/2020","17,190.25","15,684.92","17,410.99","15,569.43","5.69B","10.33%"
"10/01/2020","15,580.64","16,189.66","16,611.02","15,418.46","4.43B","-3.35%"
"09/01/2020","16,121.38","16,533.18","16,725.68","15,724.95","4.94B","-2.38%"
"08/01/2020","16,514.44","16,172.64","16,835.09","16,172.64","3.99B","2.14%"
"07/01/2020","16,169.20","15,694.11","16,317.89","15,391.73","4.28B","4.22%"
"06/01/2020","15,515.22","15,177.61","15,980.07","14,934.71","7.06B","2.12%"
"05/01/2020","15,192.83","14,562.98","15,342.43","14,187.47","6.40B","2.79%"
"04/01/2020","14,780.74","12,966.82","15,257.93","12,813.98","7.31B","10.48%"
"03/01/2020","13,378.75","16,324.99","16,798.22","11,172.73","11.00B","-17.74%"
"02/01/2020","16,263.05","17,351.01","17,970.51","15,896.35","4.97B","-6.09%"
"01/01/2020","17,318.49","17,131.63","17,666.45","17,033.21","4.66B","1.49%"
"12/01/2019","17,063.43","17,060.92","17,230.58","16,816.97","4.16B","0.14%"
"11/01/2019","17,040.20","16,537.72","17,120.90","16,534.93","4.32B","3.38%"
"10/01/2019","16,483.16","16,683.64","16,707.54","16,198.09","4.07B","-1.05%"
"09/01/2019","16,658.63","16,382.53","16,947.23","16,328.43","4.68B","1.32%"
"08/01/2019","16,442.07","16,389.22","16,505.92","15,964.38","4.45B","0.22%"
"07/01/2019","16,406.56","16,463.55","16,641.79","16,282.12","3.74B","0.15%"
"06/01/2019","16,382.20","16,053.47","16,603.94","15,960.93","4.22B","2.15%"
"05/01/2019","16,037.49","16,580.61","16,604.91","15,963.31","4.75B","-3.28%"
"04/01/2019","16,580.73","16,187.88","16,672.71","16,153.63","4.50B","2.97%"
"03/01/2019","16,102.09","16,086.29","16,275.31","15,891.94","5.68B","0.64%"
"02/01/2019","15,999.01","15,562.27","16,115.83","15,483.40","4.75B","2.95%"
"01/01/2019","15,540.60","14,163.92","15,564.61","14,112.84","5.22B","8.50%"